3.910479531164465922e-02 4.494755733368077655e-01 9.854198776421518868e-02
2.768912879366687910e-02 5.730227084232155654e-01 1.243013124120531249e-01
3.651073340375962650e-02 4.134767705126360937e-01 1.112724105797018026e-01
7.139094648891863848e-02 6.264823300760782310e-01 1.017282297706304794e-01
6.497188724716410069e-02 3.460165393040063320e-01 7.841912119028279782e-02
2.244496761506446433e-02 5.526707556316932113e-01 1.097332081198201248e-01
7.636796804278465911e-02 5.664404671861342777e-01 9.027443375655833102e-02
7.155761835080863553e-02 6.336592925572592794e-01 1.310035815061884046e-01
5.395197585506224247e-02 6.380404724410071449e-01 6.001147028272207223e-02
5.861649824958321819e-02 5.145913290128899531e-01 7.491643885313069295e-02
6.820029010912821710e-02 5.601388722850328961e-01 8.201647800163189284e-02
4.707115951898346168e-02 3.486947850576538332e-01 1.046745152581306793e-01
5.791286274621612606e-02 4.799720363238947907e-01 1.494470494798461890e-01
4.175937576476887458e-02 2.036087849614056644e-01 7.081242355620392948e-02
5.794418456131605888e-02 3.112765081289051716e-01 8.646444503383565738e-02
3.960446337880932366e-02 6.237818366173157880e-01 1.435917254954793276e-01
6.870457109060122691e-02 2.807851977425236401e-01 1.314397335183654092e-01
7.518139659041177258e-02 2.871192362339154425e-01 1.211425360163399245e-01
2.443983005892240781e-02 4.785685229372372840e-01 7.516660055517944417e-02
7.986338090875048923e-02 6.560899737863453707e-01 1.061883972320716574e-01
4.062494680824327298e-02 6.767689406390424711e-01 8.327217321372654135e-02
2.341622653768701823e-02 3.187184077367733459e-01 6.222826451182874447e-02
2.364144997066218792e-02 3.628271422715986239e-01 1.231735309514731674e-01
7.319179893017978278e-02 3.990411804999484113e-01 1.027113539376660889e-01
8.758595009908826112e-02 6.327470417376930278e-01 1.209595081284307039e-01
6.974646230637053523e-02 2.096467996571342862e-01 1.416871068231670416e-01
7.357718058697917951e-02 6.589082016040148648e-01 1.172444349685451415e-01
7.158431062954338786e-02 2.514232775138963150e-01 1.324421068329359186e-01
7.564698239163955562e-02 4.150049662379843296e-01 1.257146056515791033e-01
6.612282395794841228e-02 3.472219822293155511e-01 9.528383043633087413e-02
7.217677531032909433e-02 5.710087338677809488e-01 1.121799010762927207e-01
3.449366378522636389e-02 5.986000362902286209e-01 1.444655816441641760e-01
4.269657372506988069e-02 6.942011763332081031e-01 6.166511334342709982e-02
3.477770043953955920e-02 6.174600352921726376e-01 1.446996155513715632e-01
5.288796215025785841e-02 2.880831068388886584e-01 9.434405010563544358e-02
2.339156640320856281e-02 4.407073882705385692e-01 1.209975623385871613e-01
7.837062226372065732e-02 2.839253114088602370e-01 1.020175959373293972e-01
5.026770552927249669e-02 3.545315168231543135e-01 1.410317133875019779e-01
